"","Gen","Indv","Game","Fitness","Win","Total_Minerals","Total_Gas","Custom_Score","Unit_Score","Kill_Score","Building_Score","RAzing_Score","Elapsed_Time"
"1",1,1,1,NA,0,2770,0,0,350,0,525,0,NA
"2",1,1,2,NA,0,2842,0,0,350,0,525,0,NA
"3",1,1,3,NA,0,4754,0,0,350,0,450,0,NA
"4",1,1,4,NA,0,3026,0,0,350,0,450,0,NA
"5",1,1,5,NA,0,3274,0,0,350,0,450,0,NA
"6",1,2,1,NA,0,7850,0,0,350,0,450,0,NA
"7",1,2,2,NA,0,4714,0,0,350,0,525,0,NA
"8",1,2,3,NA,0,3050,0,0,350,0,450,0,NA
"9",1,2,4,NA,0,3042,0,0,350,0,450,0,NA
"10",1,2,5,NA,0,2906,0,0,350,0,450,0,NA
"11",1,3,1,NA,0,2682,0,0,350,0,450,0,NA
"12",1,3,2,NA,0,4594,0,0,350,0,525,0,NA
"13",1,3,3,NA,0,4922,0,0,350,0,525,0,NA
"14",1,3,4,NA,0,3146,0,0,350,0,525,0,NA
"15",1,3,5,NA,0,2762,0,0,350,0,525,0,NA
"16",1,4,1,NA,0,2850,0,0,350,0,450,0,NA
"17",1,4,2,NA,0,4978,0,0,350,0,450,0,NA
"18",1,4,3,NA,0,4874,0,0,350,0,450,0,NA
"19",1,4,4,NA,0,3090,0,0,350,0,450,0,NA
"20",1,4,5,NA,0,7690,0,0,350,0,525,0,NA
"21",1,5,1,NA,0,4842,0,0,350,0,450,0,NA
"22",1,5,2,NA,0,3098,0,0,350,0,450,0,NA
"23",1,5,3,NA,0,3026,0,0,350,0,525,0,NA
"24",1,5,4,NA,0,2906,0,0,350,0,525,0,NA
"25",1,5,5,NA,0,2978,0,0,350,0,450,0,NA
